"-0NhdsDJsdarxyDPR523ZQ","""Akco Lounge""","Financial District","""100 King St W""","Toronto","ON","M5X 1K7","43.6491027","-79.3806213","3.0","22","0","Japanese;Korean;Restaurants"
"-3rvpkYkYD_N1IP4hSvD0A","""Sushi Three""",,"""297 Beverly Rd""","Pittsburgh","PA","15216","40.3885913","-80.0493988","3.5","23","0","Restaurants;Sushi Bars;Japanese"
"-4bPFENRdTqjML8aKEL6ow","""Paper Crane""",,"""12975 Keele Street, Unit 1""","King City","ON","L7B 1G2","43.9280357","-79.5277234","4.5","33","1","Sushi Bars;Restaurants;Japanese"
"-59dl6bXMKpmv38TosZJlg","""Han Sushi""",,"""214 Laird Drive""","Toronto","ON","M4G 3W4","43.7116702448","-79.3641945239","4.5","4","0","Japanese;Korean;Restaurants"
"-a6tEeSq2YJyJNqq6TyMlA","""Hamaru Sushi""","Willowdale","""5469 Yonge Street""","Toronto","ON","M2N 5S1","43.7778627","-79.4148279","4.0","26","0","Japanese;Restaurants"
"-A9sm-E6uQxWTJ_MuyOzFw","""Zen 32""",,"""3160 E Camelback Rd""","Phoenix","AZ","85016","33.5100591","-112.0142073","3.0","105","0","Sushi Bars;Restaurants;Japanese"
"-ADtl9bLp8wNqYX1k3KuxA","""Ichi Ramen House""","Centennial","""7920 W Tropical Pkwy, Ste 170""","Las Vegas","NV","89149","36.2715522","-115.2676311","4.0","165","1","Restaurants;Sushi Bars;Ramen;Asian Fusion;Japanese"
"-AVRReI-nfsa0lKlehEojw","""Sushi Bar""","Riverdale","""703 Queen Street E""","Toronto","ON","M4M","43.6586245","-79.3500542","3.0","45","1","Japanese;Sushi Bars;Restaurants"
"-BbnAc9YEO6pjvJGEtFbVQ","""Sansotei""","Downtown Core","""650 Yonge Street""","Toronto","ON","M4Y 2A6","43.6668190174","-79.385469249","4.0","205","1","Noodles;Ramen;Restaurants;Japanese"
"-CbDQXiuKzPQ0_jiUz03aw","""Taiga Modern Japanese & Thai Restaurant""","Southeast","""3130 E Sunset Rd, Ste C""","Las Vegas","NV","89120","36.0719464","-115.1067983","4.0","50","0","Restaurants;Japanese;Thai"
"-DnaKAs2oK3rXfrjSvn9ew","""Tokyo Cafe""",,"""2595 E Craig Rd""","North Las Vegas","NV","89030","36.2395558","-115.1147678","4.5","247","1","Salad;Ramen;Soup;Restaurants;Japanese"
"-DtaPJJ-beogNkDKusGhlA","""Toro Sushi""","Unionville","""8515 McCowan Road""","Markham","ON","L3P 5E5","43.8681595","-79.283942","3.5","36","0","Japanese;Korean;Restaurants"
"-FcZY7a7qgxTUlTvwuyJnQ","""8 Noodle Bar""","South Summerlin","""11011 W Charleston Blvd""","Las Vegas","NV","89135","36.1551327","-115.334816","3.5","208","1","Japanese;Asian Fusion;Chinese;Restaurants"
"-H3hHmLfDmXQyuAlb3qFfg","""Ohiyo 68 Asian Cuisine""",,"""6531 Brecksville Rd""","Independence","OH","44131","41.3847638764","-81.6411464204","4.5","17","1","Indonesian;Asian Fusion;Chicken Wings;Sushi Bars;Japanese;Restaurants"
"-HlfeTND7PATNVduJ_35lA","""Mariko Japanese Restaurant""",,"""551 Bloor Street W""","Toronto","ON","M5S 1Y6","43.665247","-79.4102726","2.0","49","0","Restaurants;Sushi Bars;Japanese"
"-Ipm_8YXj9UoNNHagCvsNg","""Aoyama Sushi Restaurant""",,"""2766 Victoria Park Avenue""","Toronto","ON","M2J 4A8","43.7864595229","-79.3288924545","4.0","162","1","Japanese;Restaurants;Sushi Bars"
"-ITj6Pu8Gdw8MmLf0XBEKQ","""Sushi Station""",,"""20910 N Tatum Blvd, Ste 150""","Phoenix","AZ","85050","33.6752320021","-111.979702925","4.0","340","1","Japanese;Sushi Bars;Restaurants"
"-iUC5zuMFqvnF0L6I1fzXg","""Taiyo""",,"""2480 Chemin de Chambly""","Longueuil","QC","J4L 3Y4","45.5239488","-73.469348","4.0","4","1","Japanese;Asian Fusion;Restaurants;Sushi Bars"
"-JFVxwdVQfX207554dx1nw","""Teriyaki Madness""","Southeast","""9845 S Maryland Pkwy, Ste C""","Las Vegas","NV","89183","36.0106875","-115.1371278","3.5","122","1","Japanese;Asian Fusion;Restaurants;Hawaiian"
"-K82LBrI3H0FVuhTbNDpRA","""Shoku Ramen""","Southeast","""470 E Windmill Ln, Ste 110""","Las Vegas","NV","89123","36.0425315584","-115.152754052","3.5","238","1","Ramen;Noodles;Japanese;Restaurants"
"-kNcuhLw790MQFLYpwzfKw","""Aka Fuji""","Verdun","""3872 Wellington""","Verdun","QC","H4G 1V2","45.4652706","-73.5666332","4.0","21","1","Japanese;Sushi Bars;Restaurants"
"-Levln3VcfeXS4iHt5ct9A","""Nozy""","Sud-Ouest","""3568 Rue Notre-Dame O""","Montreal","QC","H4C 1P4","45.4799334","-73.5801996","4.5","54","1","Japanese;Restaurants"
"-mQpuiMYGVYUUXd-gbKsYA","""Kobe""","Old Malton Village","""2911 Derry Road E""","Mississauga","ON","L4T 1A6","43.7031486","-79.6432167","3.0","3","0","Restaurants;Japanese;Chinese"
"-MwaICRwxaUi0JBfad2Y3Q","""Noren""","Plateau-Mont-Royal","""77 Rue Rachel O""","Montréal","QC","H2W 1G2","45.5171572","-73.5826923","4.5","25","1","Restaurants;Japanese"
"-o2bwiM7OXRDEl0HVweUnQ","""Yogis Grill""",,"""6050 W Chandler Blvd""","Chandler","AZ","85226","33.3058939054","-111.946359884","3.0","38","1","Japanese;Restaurants"
"-oDK9KnYMRwl5Mog46V1Sw","""Pure Sushi South""",,"""7343 E Scottsdale Mall, Ste 1000""","Scottsdale","AZ","85251","33.492761","-111.922982","3.5","20","0","Sushi Bars;Restaurants;Japanese"
"-QgX4QofONhh6XFZ4Zbnvw","""Taiko""",,"""1909 E Ray Rd""","Chandler","AZ","85225","33.3203058","-111.8096142","4.0","110","0","Japanese;Sushi Bars;Restaurants"
"-Qkx7W0itbAApcG5lJuMFQ","""Jaburritos""","The Strip","""3535 S Las Vegas Blvd""","Las Vegas","NV","89109","36.1175754745","-115.170291604","4.5","189","1","Mexican;Japanese;Restaurants;Asian Fusion;Sushi Bars;Seafood"
"-QNQ4R1VgRoL4b6lC8Anrg","""Mizuya""","The Strip","""3950 S Las Vegas Blvd""","Las Vegas","NV","89109","36.091869","-115.175256","3.0","121","1","Sushi Bars;Bars;Japanese;Restaurants;Nightlife;Lounges"
"-QOz-2NrDkXjgKYEGBQZhA","""Osechi Japanese Cuisine""",,"""230 Commerce Valley Drive  E""","Markham","ON","L3T 7T2","43.8435789","-79.3776066","2.5","17","0","Restaurants;Thai;Japanese"
"-RJ216TTIghZshCkUlD1WQ","""Sushi Takashi""","Chinatown","""5300 W Spring Mountain Rd""","Las Vegas","NV","89146","36.1262291442","-115.213507304","4.5","241","1","Sushi Bars;Japanese;Restaurants"
"-rx-9Ra2OHfmD1yaUS-CMg","""Axia Restaurant & Bar""","Erin Mills","""5045 Plantation Place""","Mississauga","ON","L5M 6J3","43.552083","-79.714734","3.0","93","1","Restaurants;Asian Fusion;Japanese;Chinese"
"-sUf12Imjs68dBrmELiwzQ","""Yama Izakaya""","Plaza Midwood","""1324 Central Ave""","Charlotte","NC","28205","35.2205641897","-80.8156105215","4.0","186","1","Asian Fusion;Cocktail Bars;Bars;Japanese;Gastropubs;Tapas/Small Plates;Restaurants;Ramen;Teppanyaki;Sushi Bars;Tapas Bars;Nightlife"
"-tVtZSf5NeWlt4y1BcAPAg","""Zem-One""","East Credit","""4555 Hurontario Street""","Mississauga","ON","L4Z 3M2","43.6050994","-79.6498645","2.0","25","0","Sushi Bars;Restaurants;Japanese;Thai"
"-VYYKJBVTX1BtaJU4eFJ8A","""Teriyaki Madness""",,"""43 S Stephanie St""","Henderson","NV","89012","36.0274535","-115.0493164","3.5","132","1","Hawaiian;Restaurants;Asian Fusion;Japanese"
"-w6VX94tbpA7joO748wN2w","""Sehmi Japanese Restaurant""","Erin Mills","""3015 Winston Churchill Boulevard, Unit 3""","Mississauga","ON","L5L 2V8","43.5241268","-79.6822692","4.0","39","1","Japanese;Sushi Bars;Restaurants"
"-wDNRL4lm1UgeFLG9KcrjQ","""Yummy Grill & Sushi""","Southeast","""9711 S Eastern Ave""","Las Vegas","NV","89183","36.012748241","-115.119379794","3.5","144","1","Japanese;Chinese;Hawaiian;Restaurants"
"-y1AYyWAhNr191A8sxoZNQ","""Izzi Restaurant""","Old Town","""119 Lothian Rd""","Edinburgh","EDH","EH3 9AN","55.9462076","-3.2050595","3.5","18","0","Japanese;Restaurants;Chinese"
"-Y1tpIKA_HIH9fWiCW8VPQ","""Warawara Japanese Ramen""","Rathaus","""Eberhardstr. 5""","Stuttgart","BW","70173","48.7741330907","9.1796598744","2.5","7","0","Soup;Japanese;Restaurants"
"-YR7K3rw6VAQ1-MjslvsoQ","""Eastwind Sushi & Grill""",,"""13637 N Tatum Blvd""","Phoenix","AZ","85032","33.6108205645","-111.977496973","3.0","150","1","Sushi Bars;Asian Fusion;Japanese;Restaurants"
"-zEpEmDfFQL-ph0N3BDlXA","""Sakanaya Restaurant""",,"""403 E Green St""","Champaign","IL","61820","40.110113","-88.233218","4.5","314","1","Restaurants;Japanese;Sushi Bars"
