likes,comments,caption,mediaid,hashtag,Game_name,post_hashtag_id
29343,117,"Coffee, clues, and #DetectivePikachu",2.02863E+14,['detectivepikachu'],POKEMON,1
31036,178,"Transformation is an important tool in battle! The Legendary Pokémon Deoxys can change into several different forms, which can greatly improve its stats in a pinch.

#TuesdayThoughts",2.02851E+14,['tuesdaythoughts'],POKEMON,2
79222,941,"Did you know there are only two known pure Water-type Legendary Pokémon? 
The graceful Suicune and the storm-bringer Kyogre are often imitated…but never duplicated.",2.0279E+14,[],POKEMON,3
23256,91,The start of a new journey always begins with the first step. #MondayMotivation,2.02783E+14,['mondaymotivation'],POKEMON,4
60643,565,"Eevee, stop. You’re too cute! #DetectivePikachu",2.02717E+14,['detectivepikachu'],POKEMON,5
48115,608,"About a quarter of dual-type Water-type Pokémon are also either Rock- or Ground-type Pokémon. Due to their dual type, these Pokémon have a chance withstanding Electric attacks—but have a strong weakness to Grass attacks. 🚫🍃 What are your best strategy tips for using Water-type Pokémon in battle?",2.02506E+14,[],POKEMON,6
69809,588,See how your favorite Pokémon measure up in the Pokémon Size Chart Collection: Kanto to Alola! Learn more about Pokémon of all shapes and sizes with seven double-sided posters full of facts and figures. 📏📘 Tap the link in our bio to add this collection to your collection!,2.02361E+14,[],POKEMON,7
32736,261,"The TAG TEAM duos have one stellar Water-type team: Magikarp & Wailord.

This colossal pair boasts a ridiculously high HP of 300, one of the highest HP stats in the #PokemonTCG!",2.02352E+14,['pokemontcg'],POKEMON,8
68955,458,"Honestly, this post is just an excuse to use the word ""Tragikarp"" again.

#DetectivePikachu",2.0228E+14,['detectivepikachu'],POKEMON,9
162907,2544,"Feeling cute, might evolve into one of eight different Pokémon later, idk",2.02209E+14,[],POKEMON,10
68087,729,"Nobody:

Rapidash:",2.02136E+14,[],POKEMON,11
51025,616,"Old friends reunite when Brock and Misty visit Alola! And nothing says “old times” like Team Rocket trying to steal a whole bunch of Mantine. 😨

How long do you think it’ll take to send Team Rocket blasting off again? Asking for a friend.

Catch new episodes of #PokemonTheSeries: Sun & Moon—Ultra Legends each week on @DisneyXD! Leave a 💥 below if you’ll be watching.",2.02065E+14,['pokemontheseries'],POKEMON,12
21950,136,"Celebrate spring with a bounty of log-in bonuses in #PokemonDuel! 🎁 
From now until May 8, you'll get weekly rewards and a chance to pull powerful new figures—including [UX] Arceus!

Tap the link in our bio to check out the rewards!",2.02062E+14,['pokemonduel'],POKEMON,13
46553,1741,Fun fact: Water-type Pokémon make up 16% of the Pokédex. 🌊💧 Which is your favorite?,2.01986E+14,[],POKEMON,14
147043,3654,"Charizard knocking things over is a mood. 🔥

Wondering what it was like to audition for #DetectivePikachu? Quiet on the set, Trainers: it’s time for some Pokémon Screen Tests! 📽

Which was your favorite? 👀",2.01916E+14,['detectivepikachu'],POKEMON,15
27641,178,"Not that we’re counting… (We’re definitely counting. 😉)
#DetectivePikachu",2.01915E+14,['detectivepikachu'],POKEMON,16
61958,412,"Elementary, my dear (Detective) Pikachu! 
We’ve got a lead on a special Pokémon Trading Card Game promo card that you can only find in theaters during the POKÉMON Detective Pikachu opening weekend, Trainers! 🔎 Follow the link in our bio to crack the case. #DetectivePikachu",2.01915E+14,['detectivepikachu'],POKEMON,17
44121,151,"☀️ Put this ray of sunshine on your shelf, US Trainers—the next @OriginalFunko Pikachu figure is coming soon to the #PokemonCenter! 🌼 Curious? Tap the link in our bio for more!",2.01854E+14,['pokemoncenter'],POKEMON,18
31094,121,"April showers bring...Staryu and Slowpoke?! Grab those rain boots and umbrellas, Trainers—we’re splashing around all month long with some Water-type Pokémon! 🌊💧",2.01851E+14,[],POKEMON,19
122789,26357,"🍃🌱 = Bulbasaur
🔥 🦎 = Charmander
💧 🐢 = Squirtle

Everyone can describe their favorite Pokémon…but can you do it while only using emojis? Only one way to find out! Give it your best shot in the comments. ⬇",2.01842E+14,[],POKEMON,20
34967,310,"It’s Monday, Trainers! Don’t feel gray—Dawn and her Pokémon hope you have an amazing day! #MondayMotivation 🎉",2.01763E+14,['mondaymotivation'],POKEMON,21
81850,2366,"🎶 I will travel across the land, searching far and wide! 🎶

Tag two friends you’d travel with on your own Pokémon adventure! 🌄",2.01724E+14,[],POKEMON,22
94105,912,Live every day like an Eevee dancing in a field of flowers 🌸,2.01633E+14,[],POKEMON,23
