"--qJNlGWyvPJfBrqwp9c0w","""Bella Vista""",,"""Im Asemwald 54""","Stuttgart","BW","70599","48.7253521057","9.1932465113","3.5","30","1","Restaurants;Italian;German"
"-0CTrPQNiSyClxhdO4HSDQ","""Pizza Hut""",,"""3555 Don Mills Road""","North York","ON","M2H 3N3","43.7943731","-79.353754","2.0","20","1","Restaurants;Pizza;Italian;Chicken Wings"
"-3Haoc0l9DZRSXxIHi9oJg","""Klondike""",,"""100 Rue Sainte-Anne""","Sainte-Anne-de-Bellevue","QC","H9X 1L8","45.4033441","-73.9518165","2.0","21","1","Steakhouses;Restaurants;Italian;International"
"-3oxnPPPU3YoxO9M1I2idg","""Eklectic Pie - Mesa""",,"""1859 S Stapley Dr, Ste 105-3""","Mesa","AZ","85204","33.3799121","-111.8062972","4.0","127","0","Salad;Gluten-Free;Pizza;Bars;Italian;Nightlife;Restaurants"
"-6h3K1hj0d4DRcZNUtHDuw","""Brio Tuscan Grille""",,"""15301 N Scottsdale Rd""","Scottsdale","AZ","85254","33.6254092922","-111.925127616","3.5","449","1","Event Planning & Services;Breakfast & Brunch;Italian;Nightlife;Pizza;Cocktail Bars;Venues & Event Spaces;Wine Bars;Seafood;Bars;Restaurants"
"-7d3UqQYYcBxbDH2do86sg","""Noodles & Company""",,"""7541 W Bell Rd""","Peoria","AZ","85382","33.6378842921","-112.221800874","3.5","50","1","Comfort Food;Italian;Restaurants;Asian Fusion;Noodles"
"-7PX_FOoCwktlunImRyZdg","""Pizza Taglio""","East Liberty","""126 S Highland Ave""","Pittsburgh","PA","15206","40.4603426","-79.9250006","4.5","105","1","Specialty Food;Italian;Local Flavor;Pizza;Restaurants;Food"
"-8JaNeG3etLgOVyg2gOIiA","""La Fontanella Restaurant""",,"""4231 E Indian School Rd""","Phoenix","AZ","85018","33.4946209","-111.98983","4.0","61","0","Italian;Mediterranean;Restaurants"
"-8Oaw94x2pYJCVP8ZtuTTw","""Carrabba's Italian Grill""",,"""10408 E Independence Blvd""","Matthews","NC","28105","35.1275266","-80.707971","3.5","76","1","Restaurants;Italian;Seafood;Nightlife;Wine Bars;Bars"
"-9j_qW9w64v_Nxa6dLeeOA","""Lanterna Restaurant""",,"""33 Queen Street""","Scarborough","NYK","YO11 1HQ","54.2844962","-0.3991684","5.0","3","1","Restaurants;Italian"
"-AFB5hlv1SQl-tXVZSq5JA","""Pizza Smart Heimservice""",,"""Uhlbergstr. 17""","Filderstadt","BW","70794","48.6537","9.19798","3.0","4","1","Italian;Food;Restaurants;Food Delivery Services"
"-b-waFIsc6BJdXWOJMRKEQ","""Marinellas Italian Restaurant""","Bickford Park","""640 College Street""","Toronto","ON","M5V 2E8","43.6550764057","-79.4154641032","4.5","105","1","Italian;Restaurants"
"-bPVKp_NWJd8v_LhUdIv4Q","""Lily's Pizza & Pasta""","Lorne Park","""1107 Lorne Park Road, Unit 5""","Mississauga","ON","L5H 3A1","43.5315363","-79.6117998","3.5","4","1","Sandwiches;Italian;Pizza;Restaurants"
"-CLTZ0cO-ooKDDmXHFoGMg","""Pi Co""","Yorkville","""1200 Bay Street""","Toronto","ON","M5R 2A5","43.6700032","-79.3898095","4.0","56","1","Pizza;Gluten-Free;Salad;Restaurants;Italian"
"-csTFEw0s7PKXZgGqwtimA","""Ganssee Stüble""",,"""Sudetenstr. 45""","Böblingen","BW","71032","48.6816","9.03644","4.0","4","1","German;Italian;Restaurants"
"-cV0WKirqWO2eeEFt0zeWg","""Marino's Bar & Grill""",,"""29701 Euclid Ave""","WICKLIFFE","OH","44092","41.6101874","-81.4694973","4.0","12","1","Restaurants;Sandwiches;Italian;Burgers;Salad"
"-Dnh48f029YNugtMKkkI-Q","""La Piazza al Forno""",,"""5803 W Glendale Ave""","Glendale","AZ","85301","33.5383958","-112.1839753","4.0","457","1","Italian;Restaurants;Pizza"
"-dqK97OczNSfrfa71cuYmA","""Piazza Del Sogno""","Ville-Marie","""1180 Boulevard de Maisonneuve O""","Montréal","QC","H3A 1N5","45.5003742","-73.5752947","4.0","25","0","Cafes;Pizza;Coffee & Tea;Food;Italian;Restaurants"
"-fcQNzfauLiNz2CqmlGieQ","""Schützengilde""",,"""Aldinger Str. 141""","Kornwestheim","BW","70806","48.8667","9.20765","4.5","5","1","Active Life;Restaurants;German;Italian;Sports Clubs"
