Timestamp,Tweet_ID,User_ID,Screen_Name,Tweet,Followers_Count,Friends_Count,Retweet_Count,Favorite_Count
4/10/2018 23:59,9.83857E+17,4892620137,POPXXICENTURY,b'Good #pop #music now playing Lena Meyer-Landrut - Satellite on https://t.co/hdB03mtydc',3239,4436,0,0
4/10/2018 23:59,9.83857E+17,4876036149,classichitradio,b'#rock #pop #dance #latio #music 24/7 #np  Supertramp -  The Logical Song https://t.co/fijyDN320r',4107,4548,0,0
4/10/2018 23:59,9.83857E+17,207558415,abajesurin,"b'Posted a new song: ""MA YIN O"" https://t.co/zdBeV31twU #music https://t.co/HgCWFrRsES'",1188,1975,0,0
4/10/2018 23:59,9.83857E+17,9.83856E+17,shirely03038440,b'RT @KingHookiss: #BlastFromThePast:\nIn #September 2016 I had a #Number1 song on @iTunes in #Slovenia\nhttps://t.co/NhKmvGztgu #kinghookiss #\xe2\x80\xa6',3,21,112,0
4/10/2018 23:59,9.83857E+17,3363095387,ShanShui1946,"b'RT @sanshui596: https://t.co/wjad7veaqR\nThe #musicscene in #60sSoho by Hayley Kilhams who chatted to #musician  #PeteHammerton, who was THE\xe2\x80\xa6'",1111,1506,4,0
4/10/2018 23:59,9.83857E+17,9.41692E+17,HendersonQuin,"b""\xf0\x9f\x99\x8c YASSS It's time for a great show EricLocoSLGL\xf0\x9f\x92\xaf:#Music GET THEM LEV\nhttps://t.co/Tvr6XCT6RV https://t.co/9KNGWQ5VoB""",4,25,0,0
4/10/2018 23:59,9.83857E+17,2696738371,Whatthehell1977,"b""RT @swingfields: Swingfields 'Sunrise' Festival. We have broken through the barrier of only 100 tickets left. ONLY  99 tickets now left for\xe2\x80\xa6""",1807,119,7,0
4/10/2018 23:59,9.83857E+17,995878908,JohnLobbanRADIO,"b'One great song after another, after another, after another! - https://t.co/o56MPKfPqZ JOHN LOBBAN RADIO #MUSIC #RADIO #ReTweet if listening!'",3247,1821,0,0
4/10/2018 23:59,9.83857E+17,8.06179E+17,leafy_beats,"b""Post production on a beat I'm sharing soon. This is my favorite process because it's almost over and I get to stop\xe2\x80\xa6 https://t.co/JK6gSQwGqF""",44,161,0,5
4/10/2018 23:59,9.83857E+17,9.48343E+17,DNRsquad,"b'RT @classichitradio: Your favorite songs #music #rock #pop #dance #latino "" Usher - You Make Me Wanna "" on https://t.co/IptymHrWci'",4615,2,1,0
