ID,user_id,games
377160,151603712,Fallout 4
377160,151603712,Fallout 4
17390,151603712,Spore
17390,151603712,Spore
550,151603712,Left 4 Dead 2
550,151603712,Left 4 Dead 2
339800,151603712,HuniePop
339800,151603712,HuniePop
238960,151603712,Path of Exile
238960,151603712,Path of Exile
367450,151603712,Poly Bridge
367450,151603712,Poly Bridge
500,151603712,Left 4 Dead
500,151603712,Left 4 Dead
440,151603712,Team Fortress 2
440,151603712,Team Fortress 2
203160,151603712,Tomb Raider
203160,151603712,Tomb Raider
237990,151603712,The Banner Saga
237990,151603712,The Banner Saga
8870,151603712,BioShock Infinite
8870,151603712,BioShock Infinite
22370,151603712,Fallout 3 - Game of the Year Edition
22370,151603712,Fallout 3 - Game of the Year Edition
12210,151603712,Grand Theft Auto IV
12210,151603712,Grand Theft Auto IV
200210,151603712,Realm of the Mad God
200210,151603712,Realm of the Mad God
298160,151603712,Eldevin
298160,151603712,Eldevin
570,151603712,Dota 2
570,151603712,Dota 2
7670,151603712,BioShock
7670,151603712,BioShock
301520,151603712,Robocraft
301520,151603712,Robocraft
4000,151603712,Garry's Mod
4000,151603712,Garry's Mod
250260,151603712,Jazzpunk
250260,151603712,Jazzpunk
108710,151603712,Alan Wake
8850,151603712,BioShock 2
113420,151603712,Fallen Earth
570,187131847,Dota 2
570,187131847,Dota 2
45760,59945701,Ultra Street Fighter IV
45760,59945701,Ultra Street Fighter IV
292120,59945701,FINAL FANTASY XIII
292120,59945701,FINAL FANTASY XIII
8930,59945701,Sid Meier's Civilization V
8930,59945701,Sid Meier's Civilization V
110800,59945701,L.A. Noire
110800,59945701,L.A. Noire
251570,59945701,7 Days to Die
251570,59945701,7 Days to Die
244730,59945701,Divekick
244730,59945701,Divekick
39140,59945701,FINAL FANTASY VII
39140,59945701,FINAL FANTASY VII
201790,59945701,Orcs Must Die! 2
201790,59945701,Orcs Must Die! 2
1250,59945701,Killing Floor
1250,59945701,Killing Floor
4560,59945701,Company of Heroes
4560,59945701,Company of Heroes
107100,59945701,Bastion
107100,59945701,Bastion
391540,59945701,Undertale
391540,59945701,Undertale
102600,59945701,Orcs Must Die!
102600,59945701,Orcs Must Die!
222940,59945701,THE KING OF FIGHTERS XIII STEAM EDITION
222940,59945701,THE KING OF FIGHTERS XIII STEAM EDITION
348550,59945701,GUILTY GEAR XX ACCENT CORE PLUS R
348550,59945701,GUILTY GEAR XX ACCENT CORE PLUS R
245170,59945701,Skullgirls
245170,59945701,Skullgirls
33230,59945701,Assassin's Creed II
33230,59945701,Assassin's Creed II
440,59945701,Team Fortress 2
440,59945701,Team Fortress 2
314030,59945701,Guilty Gear X2 #Reload
550,59945701,Left 4 Dead 2
3830,59945701,Psychonauts
225420,59945701,Cities in Motion 2
231430,59945701,Company of Heroes 2
4000,59945701,Garry's Mod
42910,59945701,Magicka
4920,59945701,Natural Selection 2
91600,59945701,Sanctum
210770,59945701,Sanctum 2
271590,53875128,Grand Theft Auto V
271590,53875128,Grand Theft Auto V
222880,53875128,Insurgency
222880,53875128,Insurgency
550,53875128,Left 4 Dead 2
550,53875128,Left 4 Dead 2
252950,53875128,Rocket League
252950,53875128,Rocket League
33230,53875128,Assassin's Creed II
33230,53875128,Assassin's Creed II
298110,53875128,Far Cry 4
298110,53875128,Far Cry 4
10150,53875128,Prototype
10150,53875128,Prototype
107200,53875128,Space Pirates and Zombies
107200,53875128,Space Pirates and Zombies
239140,53875128,Dying Light
239140,53875128,Dying Light
8190,53875128,Just Cause 2
8190,53875128,Just Cause 2
17410,53875128,Mirror's Edge
17410,53875128,Mirror's Edge
234140,53875128,Mad Max
234140,53875128,Mad Max
620,53875128,Portal 2
620,53875128,Portal 2
270150,53875128,RUNNING WITH RIFLES
270150,53875128,RUNNING WITH RIFLES
57690,53875128,Tropico 4
57690,53875128,Tropico 4
200900,53875128,Cave Story+
200900,53875128,Cave Story+
21090,53875128,F.E.A.R.
21090,53875128,F.E.A.R.
243470,53875128,Watch_Dogs
243470,53875128,Watch_Dogs
206420,53875128,Saints Row IV
206420,53875128,Saints Row IV
221100,53875128,DayZ
221100,53875128,DayZ
220,53875128,Half-Life 2
220,53875128,Half-Life 2
329130,53875128,Reassembly
329130,53875128,Reassembly
257510,53875128,The Talos Principle
257510,53875128,The Talos Principle
107100,53875128,Bastion
107100,53875128,Bastion
206190,53875128,Gunpoint
206190,53875128,Gunpoint
43110,53875128,Metro 2033
43110,53875128,Metro 2033
113020,53875128,Monaco
113020,53875128,Monaco
25000,53875128,Overgrowth
25000,53875128,Overgrowth
261570,53875128,Ori and the Blind Forest
261570,53875128,Ori and the Blind Forest
115320,53875128,PROTOTYPE 2
115320,53875128,PROTOTYPE 2
239820,53875128,Game Dev Tycoon
239820,53875128,Game Dev Tycoon
238090,53875128,Sniper Elite 3
238090,53875128,Sniper Elite 3
41800,53875128,Gratuitous Space Battles
41800,53875128,Gratuitous Space Battles
8930,53875128,Sid Meier's Civilization V
8930,53875128,Sid Meier's Civilization V
241600,53875128,Rogue Legacy
241600,53875128,Rogue Legacy
33460,53875128,From Dust
33460,53875128,From Dust
383980,53875128,Rivals of Aether
383980,53875128,Rivals of Aether
94400,53875128,Nidhogg
94400,53875128,Nidhogg
205100,53875128,Dishonored
205100,53875128,Dishonored
233610,53875128,Distance
233610,53875128,Distance
265610,53875128,Epic Battle Fantasy 4
265610,53875128,Epic Battle Fantasy 4
223510,53875128,Miasmata
223510,53875128,Miasmata
17470,53875128,Dead Space
17470,53875128,Dead Space
219150,53875128,Hotline Miami
219150,53875128,Hotline Miami
274270,53875128,NOT A HERO
274270,53875128,NOT A HERO
234190,53875128,Receiver
234190,53875128,Receiver
247080,53875128,Crypt of the NecroDancer
247080,53875128,Crypt of the NecroDancer
400,53875128,Portal
400,53875128,Portal
265690,53875128,NaissanceE
265690,53875128,NaissanceE
252410,53875128,SteamWorld Dig
252410,53875128,SteamWorld Dig
233230,53875128,Kairo
233230,53875128,Kairo
244930,53875128,SNOW
244930,53875128,SNOW
113200,53875128,The Binding of Isaac
113200,53875128,The Binding of Isaac
236150,53875128,Starpoint Gemini 2
236150,53875128,Starpoint Gemini 2
258520,53875128,The Vanishing of Ethan Carter
258520,53875128,The Vanishing of Ethan Carter
265930,53875128,Goat Simulator
265930,53875128,Goat Simulator
17460,53875128,Mass Effect
17460,53875128,Mass Effect
242920,53875128,Banished
242920,53875128,Banished
201700,53875128,DiRT Showdown
201700,53875128,DiRT Showdown
500,53875128,Left 4 Dead
500,53875128,Left 4 Dead
12210,53875128,Grand Theft Auto IV
12210,53875128,Grand Theft Auto IV
63000,53875128,HOARD
63000,53875128,HOARD
304650,53875128,Sunless Sea
304650,53875128,Sunless Sea
214560,53875128,Mark of the Ninja
214560,53875128,Mark of the Ninja
110800,53875128,L.A. Noire
110800,53875128,L.A. Noire
263760,53875128,Turbo Dismount
263760,53875128,Turbo Dismount
302380,53875128,Floating Point
302380,53875128,Floating Point
323320,53875128,Grow Home
323320,53875128,Grow Home
233150,53875128,LUFTRAUSERS
233150,53875128,LUFTRAUSERS
33900,53875128,Arma 2
33900,53875128,Arma 2
368730,53875128,No Time To Explain Remastered
368730,53875128,No Time To Explain Remastered
224760,53875128,FEZ
224760,53875128,FEZ
249630,53875128,Delver
249630,53875128,Delver
233470,53875128,Evoland
233470,53875128,Evoland
239800,53875128,Bleed
239800,53875128,Bleed
49520,53875128,Borderlands 2
49520,53875128,Borderlands 2
253030,53875128,Race The Sun
253030,53875128,Race The Sun
2500,53875128,Shadowgrounds
2500,53875128,Shadowgrounds
211260,53875128,They Bleed Pixels
211260,53875128,They Bleed Pixels
7670,53875128,BioShock
7670,53875128,BioShock
35700,53875128,Trine
35700,53875128,Trine
242880,53875128,"Sir, You Are Being Hunted"
242880,53875128,"Sir, You Are Being Hunted"
207750,53875128,Symphony
207750,53875128,Symphony
230050,53875128,DLC Quest
230050,53875128,DLC Quest
19900,53875128,Far Cry 2
19900,53875128,Far Cry 2
221910,53875128,The Stanley Parable
221910,53875128,The Stanley Parable
248310,53875128,Freedom Planet
248310,53875128,Freedom Planet
343710,53875128,KHOLAT
343710,53875128,KHOLAT
29180,53875128,Osmos
29180,53875128,Osmos
200390,53875128,Oil Rush
200390,53875128,Oil Rush
233980,53875128,Unepic
233980,53875128,Unepic
39140,53875128,FINAL FANTASY VII
39140,53875128,FINAL FANTASY VII
102840,11373749,Shank 2
361630,53875128,404Sight
361630,53875128,404Sight
251490,53875128,Gravity Ghost
251490,53875128,Gravity Ghost
3830,53875128,Psychonauts
3830,53875128,Psychonauts
22230,53875128,Rock of Ages
22230,53875128,Rock of Ages
17390,53875128,Spore
17390,53875128,Spore
201040,53875128,Galcon Legends
201040,53875128,Galcon Legends
375600,53875128,Air Brawl
375600,53875128,Air Brawl
343780,53875128,Cat Goes Fishing
343780,53875128,Cat Goes Fishing
264200,53875128,One Finger Death Punch
264200,53875128,One Finger Death Punch
385710,53875128,INK
385710,53875128,INK
214970,53875128,Intrusion 2
214970,53875128,Intrusion 2
209690,53875128,Fieldrunners
209690,53875128,Fieldrunners
263980,53875128,Out There Somewhere
263980,53875128,Out There Somewhere
272040,53875128,KAMI
272040,53875128,KAMI
99700,53875128,NightSky
99700,53875128,NightSky
98200,53875128,Frozen Synapse
98200,53875128,Frozen Synapse
41100,53875128,Hammerfight
41100,53875128,Hammerfight
263280,53875128,Spintires
263280,53875128,Spintires
308420,53875128,Ziggurat
308420,53875128,Ziggurat
15560,53875128,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
